,Ticker,Tipo,✔,A  E,7.89  8.09  8.29  8.49  8.69  8.89  9.09  9.29  9.49  9.69  10.04  10.54  11.04  11.54  11.79  12.04  12.54  12.79  13.04  13.29  13.54  13.79  14.04  14.29  14.54  14.79  15.04  15.29  15.54  15.79  16.04  16.29  16.54  16.79  17.04  17.29  17.54  17.79  18.04  18.29  18.54  19.04  19.29  19.54  20.04  20.54  20.79  21.04  21.54  22.04  22.29  22.54  23.04  23.54  24.04  24.54  25.04  25.54  26.04  26.54,ATM  ITM  OTM,Último,Var. (%),Data/Hora,Núm. de Neg.,Volume Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega
0,ABEVG140,CALL,,A,13.04,ITM,1.32,20.0,16:45:02,143,617.370.00,32.5,0.9618,0.1073,-0.0111,-0.84,0.1975
1,ABEVS140,PUT,,E,13.04,OTM,0.02,-50.0,16:54:59,236,7.109.00,36.4,-0.0534,0.1254,-0.0063,-31.5,0.2591
2,ABEVG132,CALL,,E,13.29,ITM,1.08,27.1,16:44:44,1151,221.123.00,35.8,0.9003,0.2055,-0.0168,-1.56,0.4163
3,ABEVS132,PUT,✔,E,13.29,OTM,0.03,-62.5,17:15:00,1320,56.222.00,33.6,-0.0806,0.1866,-0.0079,-26.33,0.3565
4,ABEVG135,CALL,✔,A,13.54,ITM,0.82,26.2,16:47:54,3517,1.176.409.00,29.2,0.8837,0.2816,-0.0159,-1.94,0.4656
5,ABEVS135,PUT,,E,13.54,OTM,0.06,-33.33,16:42:59,3552,102.656.00,32.8,-0.1457,0.2931,-0.0116,-19.33,0.544
6,ABEVG137,CALL,,E,13.79,ITM,0.64,42.2,16:42:30,1121,142.129.00,31.2,0.7831,0.3958,-0.0211,-3.3,0.6994
7,ABEVS137,PUT,✔,E,13.79,OTM,0.11,-35.29,16:53:54,1271,100.511.00,30.6,-0.2212,0.4078,-0.0137,-12.45,0.7065
8,ABEVG14,CALL,✔,A,14.04,ATM,0.41,36.7,16:53:45,2320,686.950.00,27.5,0.6819,0.545,-0.0216,-5.27,0.849
9,ABEVS14,PUT,,E,14.04,ATM,0.16,-36.0,16:50:49,2076,152.285.00,29.1,-0.3315,0.5249,-0.0153,-9.56,0.8629
10,ABEVG142,CALL,,E,14.29,ATM,0.26,36.8,16:54:26,1079,228.675.00,26.7,0.5293,0.6254,-0.0219,-8.42,0.9463
11,ABEVS142,PUT,✔,E,14.29,ATM,0.26,-35.0,16:53:30,900,250.567.00,28.1,-0.4712,0.5962,-0.0153,-5.88,0.9464
12,ABEVG145,CALL,✔,A,14.54,OTM,0.14,27.3,16:53:47,915,241.688.00,26.0,0.3721,0.6121,-0.0194,-13.86,0.8997
13,ABEVS145,PUT,,E,14.54,ITM,0.37,-32.73,16:39:36,424,109.401.00,27.1,-0.6163,0.5929,-0.0127,-3.43,0.9088
14,ABEVG147,CALL,,E,14.79,OTM,0.09,50.0,16:44:38,403,21.591.00,25.8,0.2396,0.5049,-0.0154,-17.11,0.7391
15,ABEVS147,PUT,,E,14.79,ITM,0.55,-26.67,16:37:55,377,167.890.00,27.1,-0.7495,0.4933,-0.0087,-1.58,0.7571
16,ABEVG150,CALL,✔,A,15.04,OTM,0.05,66.7,16:54:43,332,30.201.00,27.7,0.1498,0.3542,-0.012,-24.0,0.5541
17,ABEVS150,PUT,,E,15.04,ITM,0.78,-15.22,16:46:46,117,188.343.00,30.8,-0.85,0.3202,-0.0053,-0.68,0.5513
18,ABEVG152,CALL,,E,15.29,OTM,0.03,50.0,15:32:53,50,1.105.00,27.9,0.0837,0.2316,-0.0079,-26.33,0.3659
19,ABEVS152,PUT,,E,15.29,ITM,0.98,-16.24,16:34:36,45,47.442.00,27.0,-0.94,0.1865,0.0021,0.21,0.2817
